research_sentence	judgment
Comparison of speckle reducing anisotropic diffusion (SRAD), discrete (DTD) and continuum topological derivative (CTD) on B-mode ultrasound images of common carotid and brachial arteries throughout the cardiac cycle.	1
The aims of this study were to investigate the ameliorative effects of total saponin of Dioscoreae hypoglaucae rhizoma (TSD) on diabetic nephropathy and to explore the potential underlying mechanism(s).	1
The current study aimed to design a valid and reliable instrument to predict the protective sexual behaviors of women at risk of HIV in Iran.	1
We studied the use of fresh surgical pathology specimens for making so-called mock-FNA smears with the potential of cytohistological correlation.	1
The relationships between the BZSG at a country level with other macro-socio-economic indicators were also investigated.	1
To investigate risk of iron and zinc deficiency in women with contrasting selenium status.	1
To correlate the clinical and bacteriological parameters with that of nasal biopsy and immunological tests, such as lepromin and ML-Flow results, in untreated leprosy patients.	1
To identify the lymphocytic choriomeningitis virus from Mus musculus captured in the municipality of Sincelejo.	1
To estimate differential demand responses to alcohol excise taxes across racial/ethnic groups in the U.S.	1
To determine the association of ER汕 SNPs rs1256049 RsaI 1082 A > G and rs4986938 AluI 1730 G > A with coronary atherosclerotic disease in Chinese Han women.	1
Aim was to measure national variation in incidence of OASIS by socioeconomic status (SES).	1
As, the acute hyperglycemia at postprandial period has more triggering effect on oxidative stress, study was also aimed to evaluate the antioxidant potential of AIS on STZ-induced Albino-Wistar rats.	1
The aim of this study was to evaluate the efficacy of routine vaccination on rubella immunity among women of childbearing age in Babol, north of Iran.	1
Toward addressing this limitation, our experiments explore the extent to which membrane fusion can be amplified by using the process of lipid membrane phase separation to concentrate fusion-promoting lipids within distinct regions of the membrane surface.	1
Immune response to pegIFN汐-ribavirin therapy was explored in patients coinfected by HCV and HIV.	1
To assess the efficacy, patient satisfaction, and safety fo HA E Volume in patients with bilateral volume loss of the cheeks.	1
This study investigated the role of the estimated 24-h urinary sodium excretion as a marker of sodium intake and albuminuria.	1
This paper presents the preliminary psychometrics of the Pediatric Motivation Scale (PMOT) designed to measure motivation from a child's perspective.	1
To investigate if treatment affects the long-term clinical progression of MS, measured as time from diagnosis to score of 4 or higher of Expanded Disability Status Scale (EDSS).	1
The purpose of the current studies is to investigate the online comprehension of sentences that contain unaccusative verbs in IWBA and in a group of age-matched control (AMC) individuals.	1
In this study, we analyzed the cytokine expression profile of human epidermal T cells and compared it to that of peripheral blood 污汛 T cells to investigate the specific activity of epidermal 污汛 T cells in modulating skin inflammation.	1
to study the impact of SGA (birthweight < percentile 10) on cognition, behavior, neurodevelopmental impairment and use of therapy at 5 years old.	1
Eight tumors of Siamese cats were analyzed to ascertain germ-line and tissue-specific somatic DNA variations of Hspb1 and Tp53 genes along with the ectopic differential expression in tumorous and normal tissues were also analyzed.	1
In this multicenter study, the aim was to evaluate the contamination rates of blood cultures as well as the parameters that affect the culture results.	1
To present the results obtained with tooth-supported surgical templates characterized by an innovative open design with selective support, and manufactured via a full in-office procedure with a low-cost desktop 3D printer.	1
To assess the time of reported deaths and associated factors in a cohort of patients with TB during TB treatment.	1
To assess the impact of exposure to tobacco smoke, arsenic, and phthalates on cervical cancer treatment.	1
To elucidate whether the serum BDNF levels and BDNF genotype were associated with the sleep pattern in healthy young adults.	1
We measured the prevalence of SCH in T2DM population, and investigated whether T2DM increase the risk of SCH and whether SCH was associated with diabetic complications.	1
We sought to answer the following research questions: 1) What lessons can we learn about maternal mental health in our local neighborhoods by creating and engaging with a community advisory board (CAB)?	1
?This article outlines the development of a detailed and comprehensive evidence-based checklist of safe configuration practices for use by clinical informatics professionals when configuring hospital-based EHRs.	1
the present study aims to analyze whether and how IL-33 and RANK-L and/or their interplay are involved in the bone destruction associated to CP.	1
Our secondary objective was to evaluate whether or not resident triage decreases the number of patients who left prior to medical screening (LPTMS).	1
Furthermore, we assessed the performance and accuracy of a novel regression approach in order to allow adjusting for covariates and potential confounding.	1
To determine whether care around colonoscopy needs adjustment for patients with sexual abuse experience, thereby exploring targets for the improvement of care around colonoscopic procedures.	1
This study investigated in what leisure activities children with extreme sensory processing patterns participate and if relationships exist between children's sensory processing patterns and their leisure preferences and participation patterns.	1
We evaluate differences in serum and red blood cell (RBC) folate concentrations between two samples of women of childbearing age from selective communities in Brazil, one tested before (N = 116) and the other after the mandate (N = 240).	1
The purpose of this pilot study was to test whether compensating for this peripheral deficit could reduce the tinnitus percept acutely using customized auditory stimulation.	1
To determine the prevalence of ZIKV, DENV, and CHIKV infections in a Brazilian cohort of HIV-infected pregnant women, to assess clinical/immunological characteristics and pregnancy outcomes of women with evidence of recent AI.	1
To evaluate the potential role of aPL in diagnosing APS in patients with localized scleroderma (LoS).	1
We hypothesize that changes in LV structure and function following aortic valve replacement (AVR) are detectable by CMR and once triggered by AVR, continue for an extended period.	1
To analyze the effect of visual art depicting nature (still and video) on patients' and visitors' behavior in the ED.	1
This study examines the potential for mold growth and subsequent transmission from the crawl space into the home environment.	1
This article describes 248 injuries and over 300 procedures carried out in the M谷decins Sans Fronti豕res-Orthopedic Centre Paris orthopedic program.	1
The aim of the authors was analyze the relationship between skin autofluorescence and conventional glycemic markers in patients with diabetes.	1
The aim of this study was to examine the Risperidone treatment compared to Methylphenidate (MPH) in preschool children with ADHD.	1
To describe the anthropometric changes and perceptions of body weight in adults initiated on antiretroviral therapy (ART).	1
A narrative overview of the current understanding of infections, inflammation, and antimicrobials in relation to childhood malnutrition.	1
To evaluate the preventative effects of resveratrol on a pristane-induced lupus animal model and assess its putative immune modulation effects.	1
To compare the nature and prevalence of risk factors in Arab and non-Arab ethnic patients with symptomatic obstructive CAD referred for coronary angiography.	1
The aim of this article is to carry out a literature review of studies which deal with the influence of platform-switched implants in hard and soft oral tissues.	1
To address if supplementation with l-arginine provides antioxidant defense in human vascular endothelial cells.	1
To determine the prevalence and the factors associated with the psycho-active substances used by pregnant women and describe their socio-demographic characteristics.	1
To describe clinical, neuroimaging and laboratory features; treatment and outcome in a cohort of Tunisian children with ADEM.	1
1. to determine the applicability of neoclassical canons for Southern Chinese faces and 2. to explore gender differences in relation to the applicability of the neoclassical canons and their variants.	1
To examine how generic switch influences persistence with long-term treatment with special focus on importance of patients' concerns and views on generic medicine.	1
Summarize major lessons from Alive & Thrive's work to improve IYCF in three diverse settings--Bangladesh, Ethiopia, and Vietnam.	1
In the current study, we examined whether this peptide inhibits the proliferation of rheumatoid arthritis (RA) fibroblast-like synoviocytes (FLS) or not.	1
The aim of this study was to evaluate clinic blood pressure and blood pressure measured at home during pregnancy among nulliparous and multiparous women.	1
The aim of our study was to investigate the relationship between TLR polymorphism and infection progress.	1
To assess the reporting and methodological quality of SRs/MAs on EUS diagnosis and to explore the potential factors influencing articles' quality.	1
This study was carried out to assess the pattern of seizure, its management and compliance with treatment.	1
To obtain more precise and accurate cerebral fMRI mapping of acupuncture.	1
To systematically evaluate the existing evidence regarding the efficacy and tolerability of linezolid in the treatment of MDR or XDR tuberculosis.	1
This study decided to investigate the effects of vitamin C on fibronectin expression in kidneys of mice offspring, treated with nicotine.	1
To evaluate the sensitivity and specificity of MRSASelect (Bio-Rad Laboratories, USA), a chromogenic medium, in the early detection of MRSA from blood cultures growing Gram-positive cocci in clusters, and to confirm that routine use of this medium would, in fact, reduce turnaround time for MRSA identification.	1
To investigate whether an alternating high- fat dietary regimen can effectively diminish insulin resistance, hepatic and renal inflammation and renal dysfunction as compared to a continuous high- fat diet.	1
The aim of study was to determine the incidence of SLN micrometastases and to analyze the association between micrometastases and disease relapse.	1
To use a community-based participatory research (CBPR) approach to create an accessible, computer-assisted survey about violence and health in people with DD, and to psychometrically test adapted health instruments.	1
To describe the demographic, behavioural and clinical characteristics of women with VDS, comparing older women (≡35 years) with younger women, and to determine the performance of age alone as a criterion for predicting the presence of STI.	1
To investigate the association between continuity of care (COC) and chronic obstructive pulmonary disease (COPD) mortality and to identify other mortality-related factors in COPD patients.	1
The aim of this study was to clarify the problems associated with telecommunication systems in the acute phase of the Great East Japan Earthquake (March 11, 2011).	1
The present study aimed to determine the reference values for oxygen saturation and the pre-ductal and post-ductal oxygen saturation trends during the first 60 min of life in healthy full-term neonates born at moderate altitude (1500-2500 m) using pulse oximetry.	1
The aim of the present study was to investigate the prevalence of HPV infection and its types in cervical Squamous Cell Carcinoma (SCC) using the Nested Multiplex PCR (NMPCR) assay.	1
To evaluate the efficacy of the repositioned lateral crural flap (RLCF) technique in correcting CMLLC, and to discuss the cosmetic and functional results.	1
We used a nationally representative survey to examine demographics and underlying psychiatric disorders in United States (US) hospitalizations with non-fatal self-directed violence (SDV).	1
To investigate the feasibility of using isolation by size of tumor cells (ISET) for isolation, identification, and characterization of CTCs derived from patients with high-grade and metastatic sarcomas.	1
This study was aimed to evaluate the prevalence of H. pylori in Iranian adult patients with dyspepsia.	1
To determine to what extent differences between Israel and the OECD countries in security expenses and payment of the public debt might account for the gaps in the percentage of GDP and of government expenditures spent on health.	1
This study evaluates communities' perceptions of a new community case management of malaria programme in the district of Saraya, south-eastern Senegal, the effectiveness of lay health worker trainings, and the availability of rapid diagnostic tests and artemisinin-based combination therapy in the field.	1
The secondary end points are to analyze risk factors, causes and consequences associated with burnout.	1
To examine both personality factors of patients with chronic idiopathic urticaria (CIU) and the correlations between illness duration, severity of itching, urticaria activity score (UAS) and temperament-character dimensions.	1
The objective of this study was to further clarify the pathophysiology of bone affliction in adult patients with CD with the use of an osteoblast and osteoclast cell model.	1
A systematic review of the literature was undertaken to enlighten practitioners working in this domain.	1
To evaluate the prevalence of mutated JAK2 (JAK2-V617F) among patients with major intraabdominal vein thrombosis who had normal blood counts at diagnosis of the initial event.	1
To investigate whether dermoscopy is a valuable diagnostic tool in orf and milker's nodule diagnosis or not.	1
To examine the prevalence data available on vitamin D deficiency in Latin America and the Caribbean.	1
To assess the influence of specific allergens on the generation of 15-hydroxyeicosatetraenoic (15-HETE) from peripheral blood leukocytes in relation to basophil activation, on the basis of CD203c molecule expression and histamine release.	1
A possible relationship between the vascular endothelial growth factor (VEGF) and Nrf2 was established in vitro and the activation of Nrf2 pathway could lead to upregulation of VEGF synthesis through the induction of Nrf2-dependent Heme oxygenase-1 (HO-1).	1
We propose an extension of the Bayesian hierarchical model that allows for probabilistic projection of aggregate TFR for any set of countries.	1
The relation between various infections and adult asthma exacerbations was investigated in clinical practice.	1
Risk factors for unfavourable outcomes to treatment and TB recurrence were determined.	1
To analyze body composition and physical fitness in Colombian students from public high schools of Ibagu谷, as well as to study differences between sexes and age groups, and establish correlations between some of the variables.	1
The study aims to compare the frequency of retinal changes between patients with LI and patients with ICH at the acute stage of stroke-related SVD.	1
To assess the adherence of physicians to the standardized criteria for indication of central venous catheter (CVC) and permanent urinary catheter (PUC) and to the application of supervision guidelines.	1
Examine the correlation between BMI/immunosuppressant use with clinical response, trough and post-infusion levels of infliximab, tumour necrosis factor-汐(TNF-汐) and anti-drug antibodies(ATI), and determine if these factors can predict future response.	1
To identify traditional and non-traditional risk factors for chronic hepatitis C in the Colombian Caribbean coast.	1
Venous insufficiency is thought to be one of the most common vein diseases.	1
TO investigate the relationship between VDR gene polymorphisms (at positions Taq I and Apa I) and the incidence of TIDM in Egyptian peoples.	1
This study aimed at analysing the improvement of OHRQoL of patients who underwent dental implant treatment using the functional, psychosocial and pain and discomfort categories of the Geriatric Oral Health Assessment Index (GOHAI).	1
To assess the efficacy of two different DES in small vessel disease.	1
To determine the factors underlying the immunopathogenesis of the granulomatous diseases, sarcoidosis and tuberculosis, by comparing the blood transcriptional responses in these and other pulmonary diseases.	1
Evaluation supports program management by assessing operations and outcomes.	1
TO COMPARE THE PLASMA CYTOKINE PROFILES IN TWO GROUPS OF CURRENT OR FORMER SMOKERS WITHOUT AIRWAY OBSTRUCTION: a control group of individuals without computed tomography (CT) detected emphysema vs. a study group of individuals with CT detected emphysema.	1
The goal of the study was to examine the performance of a directional microphone mode that has an automatic reverse cardioid polar pattern.	1
To investigate the effect of pesticide exposure measured using indices of environmental exposure to pesticides on the pubertal growth of boys in rural WC, SA.	1
To analyze clinical features of patients with community-onset pneumonia due to MDR pathogens, to evaluate performance of existing scoring tools and to develop a bedside risk score for an early identification of these patients in the Emergency Department.	1
To investigate the efficacy and safety of using a hair removal laser (HRL) system to create fine hairs in Asian women with thick donor hairs.	1
The purpose of this study is to compare the utilization of resources due to the implementation of the sepsis core measures while examining whether complying with these treatment guidelines decreases patient mortality.	1
The present study was performed to determine the effects of human ECP on cytokine expression in human fibroblasts by protein array.	1
To evaluate the performance of liver segment-to-spleen volume ratio in predicting the severity of liver fibrosis.	1
To evaluate seroconversion after one dose of adjuvanted pandemic influenza H1N1 (pH1N1) vaccine in SOT recipients.	1
This study aims to examine the contingency side of the mentoring-burnout relationship by addressing the exploratory question of whether individual differences in power distance and relationship quality play important roles in mentoring effectiveness in terms of reducing a prot谷g谷's burnout level.	1
The main objective was to compare the utilization of mental health care among BPD patients, to the general population and patients with another personality disorder (PD) and to describe the demographic and clinical factors associated with the group of patients who use the most health care.	1
The aim of this study was to examine the effect of Hb concentration on birth outcomes in pregnant adolescents as a high-risk group.	1
The authors aimed to identify novel biomarkers which correlate with the survival of the transplant organ and the recipient with a special attention to elements of the renin-angiotensin system.	1
The current investigation attempted to clarify the relationship between virtues and PIU among Chinese adolescents; it also sought to explore the specific contributions of the three virtues.	1
This in vivo experimental study using a canine model determined the efficacy of bioactive TiO2-coated PEEK for anterior cervical fusion.	1
In the present study, we set out to explore the T helper 17 (TH17) lymphocyte subset, the hallmark of T-cell plasticity, in skin biopsies from patients with erythema nodosum leprosum (ENL) who were treated with thalidomide.	1
To determine the prevalence of asthma during pregnancy and identify changes in treatment and asthma exacerbation rates associated with pregnancy, while controlling for seasonal influences.	1
The current study aimed to investigate three objectives: First, the mean of out-of-pocket payments among Iranian households for health services; second, the headcount and overshoot measures of catastrophic health expenditure; and finally the level of inequality in its distribution.	1
The aim of this study is to examine the relationship between zinc bioavailability and subclinical atherosclerosis in healthy Korean adults.	1
The purpose of this study was to investigate the change in tissue inflammation and remodeling markers in cutaneous squamous cell carcinoma (SCC).	1
The aims of the present study were to investigate whether LDR can prevent type 2 diabetes-induced renal damage and the underlying mechanisms.	1
The aim of the present study was to determine the association of GST genotype, and dietary FV intake, with antioxidant biomarkers and cognitive function in the elderly.	1
This article describes an online curriculum approach for teaching a general introductory mindfulness course and examines outcomes with master's entry-level occupational therapy students.	1
We aimed to establish updated evidence- and experience-based systemic treatment guidelines for Korean AD.	1
To describe lessons learned from installing air filtration units in public housing apartments next to a major highway.	1
To develop and pilot test a program targeting the needs of self-management support among HF patients as well as their significant others.	1
The goal of this paper is to describe the development of the Live Well nutrition and physical activity curriculum.	1
To assess the rate of blood pressure control among adult hypertensive patients at Jimma University Specialized Hospital.	1
The present work, composed of two studies, proposes looking into the representations that the adolescents have of blood donation and give voice to the motivations that could persuade them to becoming donors once they reach the legal age for donation.	1
To determine the prevalence of potentially inappropriate prescriptions (PIPs) in older South African patients.	1
To determine the effect of acupressure on third liver point on primary dysmenorrhea.	1
To determine the prevalence of bullying at work in a sample of Spanish nurses; to examine the association between bullying and self-esteem; and to investigate the prognostic factors that determine bullying at work.	1
To modify the previous experimental model of hardening phenomenon by repeated applications of two different concentrations of sodium lauryl sulfate (SLS) solutions to Korean healthy volunteers and to investigate the quantitative changes of ceramides in stratum corneum before and after chronic repeated irritation.	1
To objectively measure changes in UL activity during acute SCI rehabilitation and to assess the value of wearable sensors as novel measurement tools that are complimentary to standard clinical assessments tools.	1
Our aim was to analyse the time to regulatory and ethical approval for TB vaccine trials conducted by the South African Tuberculosis Vaccine Initiative (SATVI) and to evaluate factors that influence time to final approval.	1
To explore the feasibility of detecting hypermethylation in Spastic paraplegia-20 promoter as a stool-based DNA marker for detection of colorectal cancer.	1
THE OBJECTIVES OF THIS STUDY WERE TO DETERMINE WHETHER: 1) dissemination of an automated daily report with patient risk and current status of pressure ulcers (PU Daily) helps prevent the development of pressure ulcers, and 2) using the PU Daily information impacts the severity of pressure ulcers that develop in an acute care setting.	1
(2) To assess the impact of psychiatric training on attitude toward the mentally ill person and mental illness.	1
To report on an information-sharing initiative that was established to support scale-up of quality services for CMAM by collecting existing technical guidance, evidence, and learning.	1
Wajir County in Northeast Kenya is classified as having seasonal malaria transmission.	1
This study aims at evaluating the effect of the single isolated active ingredient condurangogenin A (ConA; C32H42O7) on A549, H522 and H460-nonsmall-cell lung cancer cells.	1
We designed a computerized version of the PE Severity Index (e-Index) to automatically extract the required variables from discrete fields in the electronic health record (EHR).	1
To identify factors at the distal and proximal levels leading to the low uptake of micronutrient powder through a qualitative inquiry.	1
In the current study, we aimed to evaluate factors independently associated with liver echogenicity in an Iranian NAFLD patient population.	1
To investigate the prevalence of barber hair clipper contamination with blood and HIV and hepatitis B viruses.	1
Here we describe the Buck's technique enhanced with pedical screw-rod-hook construct and discuss the indication of direct repair of pars defect with disc herniation at caudal level and disc degeneration at cranial level of spondylolysis.	1
To study the teachers point of view on psychiatric training in France, the weaknesses and strengths of the training, recent improvements and problems, and to compare their opinion with that of the residents.	1
The aim of this study is to compare the efficacy of tricalcium phosphate (TCP), calcium sodium phosphosilicate (CSP), and casein phosphopeptide-amorphous calcium phosphate (CPP-ACP) enhanced with fluoride in reducing the Streptococcus mutans (SM) levels in saliva of children.	1
To emphasize the presence of a very frequent but unnoticed tentorial subdural hygroma among a number of recognized noncontrast brain computed tomography (CT) findings in patients with spontaneous intracranial hypotension.	1
The aim of the study was to investigate indications for and results of GA performed between 2010-2012 at the Department of Gynecology Obstetrics, and Oncologic Gynecology Nicolaus Copernicus University Collegium Medicum, Bydgoszcz.	1
In this study, we investigated the protective efficacy of TSA-based DNA vaccine against L. major infection.	1
The prevalence of eclampsia in MNH is high (＞6%) with the majority of cases arriving after start of convulsions.	1
The purpose of our data is to identify bad maternal and fetal factors during severe toxemia and the outcome of pregnancy.	1
The aim of this investigation was to compare the adolescent age group (maternal age <20years at time of recruitment) to those in the 20-34years age group in terms of their change in blood pressure and diagnosis of HDP and preeclampsia.	1
The aim of the present study was to determine bite force changes during the first 6 months of fixed appliance orthodontic treatment and to investigate the relationship between patients' subjective pain levels and recorded changes in OBF.	1
To explore the association between PPAR污2 gene pro12ala polymorphism and the metabolic characteristics in Chinese women with PCOS.	1
The present study aimed to determine the association between the QoL of postmenopausal women and their husbands.	1
The aim of this study was to explore the effect of high-dose L-AA on CIN in the cervical cancer cell line (HeLa) cells.	1
To compare the proportion of discontinued studies between NPSs and RCTs that received ethical approval.	1
To compare simple, lightweight, and handy ventilators that could be used in the initial care of patients with respiratory distress.	1
The aim of this integrative review was to explore the current literature on the use of PR in intensive care.	1
To conduct a systematic review and meta-analysis to analyze the relationship between IBD and 25(OH)D, sun exposure, and latitude, and to determine whether vitamin D deficiency affects the severity of IBD.	1
To measure the frequency of insect sightings, bites and allergic reactions in a suburban area of eastern Los Angeles County and along with rural and urban sites in Riverside County.	1
In this study, we aimed to investigate the effect of miR-181a on H2O2-induced apoptosis in TM cells.	1
We aimed to identify single nucleotide polymorphisms (SNPs) that are associated with the rate of forced expiratory volume in one second (FEV1) decline by a large scale genetic association study in newly-hired healthy young female cotton textile workers.	1
To compare the quality of life of patients with SLE with and without vertebral fractures.	1
It also studies the association between nocturnal symptoms and medication changes as the secondary outcome.	1
The aim of this study was to develop an artificial neural network (ANN) model to predetermine individual responses to therapy based on patient's demographics and laboratory data.	1
To assess the prevalence of posttraumatic stress disorder (PTSD) and depression among junior middle school students in a rural town Ningqiang county, 327 km from the earthquake epicenter.	1
The objective of this study was to determine the health-related quality of life in adults with irritable bowel syndrome who are receiving treatment at a specialist hospital.	1
1) To estimate the short- and long-term cumulative risks of recurrent intracerebral hemorrhage (ICH).	1
The aim of this study was to evaluate obstetric outcomes for a multiethnic population with hypertensive diseases.	1
In an observational, analytical, cross-sectional study we aimed to investigate the relationship between leisure activity patterns and marital conflict in a nationally representative sample of Iranian married males.	1
The purpose of this study was to characterize dermatological problems encountered in a neurosurgery unit and to compare these data to previous reports of in-patient dermatologic consultations.	1
This study investigated the relationship between serum TARC levels and the dosage of topical agents, including corticosteroids and/or tacrolimus, in patients with AD.	1
To estimate costs and benefits of complete border closure in response to new pandemic threats, at an initial proof-of-concept level.	1
Describe neurologic features complicating typhoid fever during an outbreak in Malawi-Mozambique	1
The present study characterized the patient needs to improve the quality of life in specified areas in patients depending on the severity of psoriatic changes.	1
To evaluate the diagnostic efficacy of SeptiFast test for the diagnosis of nosocomial sepsis in the newborn.	1
To analyse patch test results in contact dermatitis patients and to assess MMP-2 levels during skin lesion exacerbation and remission.	1
The current study measured the benefits of long-term talker familiarity for older individuals with hearing impairment in a variety of listening situations.	1
To demonstrate the effectiveness of ES in the treatment of recalcitrant pressure ulcers.	1
We conducted this study in order to study the pattern of serum aminotransferases and sequential changes before and after shock in Thai children with dengue infection.	1
To investigate the prevalence, clinical features and real-life management of AF in ambulatory consultant cardiology clinics.	1
To develop evidence-informed general and targeted recommendations addressing the various stakeholders involved in knowledge generation and dissemination to help overcome the problem of dissemination bias on the basis of previously collated evidence.	1
To assess the prevalence of overweight, obesity, and thinness among urban school-aged children and adolescents.	1
The current study aimed to identify copy number alterations (CNAs) in OSCC using array comparative genomic hybridization (array CGH) and to correlate the CNAs with clinico-pathologic parameters and clinical outcomes.	1
To describe the female population presenting for HIV care in southern Alberta and to examine the impact of opt-out pregnancy screening.	1
To describe the variation in use of BIS among English public hospitals and identify any patient groups being excluded from appropriate care.	1
To estimate the frequency of Leptospira interrogans infection in women with spontaneous abortion in the state of Yucatan, Mexico.	1
To clarify the role of staphylococcal superantigen, SEA in AD.	1
Within an Australian context and as part of a larger study, this article describes issues that hindered perioperative nurses' participatory experiences as a result of lacking education, previous exposure, and preparation for assisting in surgical procedures for organ procurement.	1
To determine whether Kay Kalenge women were still using the wetting method, whether there were new cases of konzo, and whether the wetting method had spread to other villages.	1
To assess the long-term radial artery patency following transradial catheterization via 7-Fr sheaths.	1
To examine the prevalence, trends and sociodemographic factors described for underweight and overweight children in Malaysia.	1
The aim of the study was to assess the anatomical structure of the sacral hiatus and the feasibility of caudal epidural injections under ultrasound guidance.	1
To describe a novel technique providing tension-free closure at the T junction through performing triangular lipodermal flaps.	1
To evaluate the cost-effectiveness of metformin combined with liraglutide or exenatide in Chinese patient with T2DM.	1
Patients were subjected to a single, complex procedure, consisting of the laparoscopic mobilization of the greater omentum and its transposition via the diaphragm into the pleural cavity to fill in the empyema cavity with the consecutive pleuro-cutaneous fistuloplasty (thoracoplasty).	1
To understand the usability of an app to help people reduce their alcohol consumption.	1
To assess early uptake of HIV testing and the provision of HIV counselling among pregnant women who attend antenatal care at primary and higher level health facilities.	1
We sought to determine if ED LOS differed for children presenting with skin and soft tissue infections who received POCUS versus radiology-performed ultrasound.	1
We also examine the association between disability prevalence and the major socio-demographic and socioeconomic characteristics of the districts in India.	1
The aim of this study was designing a recombinant hepatitis E virus ORF2 and Rotavirus NSP4 (ORF2-NSP4) and to evaluating construction these recombinant proteins in the BES.	1
We report on a?single center's experience with TAVI performed via the femoral access site.	1
To examine the effectiveness of deinstitutionalizing the disabled elderly with the aim of cost reduction.	1
To examine relationships between cumulative victimization and physical health among heterosexual and lesbian women and determine whether these relationships differ by sexual identity.	1
To assess the impact of the type of inhaler device (multiple-dose versus single-dose inhalers) on 1-year persistence and switching patterns with LABAs.	1
To determine the associated effects of frenotomy on breastfeeding variables in infants with ankyloglossia.	1
To assess the epidemiology, risk factors and prognoses of infections caused by multidrug-resistant bacterial infections in cirrhotic patients.	1
To evaluate the course of local inflammatory changes in the pleural cavity following application of talc and to quantify their dynamics.	1
To study immunohaematological values of a group of clinically healthy children from an informal settlement in Cape Town, SA, to assess whether international paediatric reference intervals used by the NHLS are appropriate.	1
This descriptive study proposes a sensitive, efficient, inexpensive, and easy method to detect HIV-1.	1
The aim of this study was to investigate the factors associated with prehospital delay in acute ischemic stroke.	1
To evaluate objectively the olfactory function using Olfactory Event Related Potentials.	1
To examine whether the function of the LAF reflex loop, reflected by the H-reflex and ankle joint proprioception, influences postural control when the SAF reflex loop is impaired, as indicated by reduced foot sole cutaneous sensation.	1
To investigate the effects of mangiferin (xanthone glucoside) and mahanimbine (carbazole alkaloid) on glucose utilization in 3T3-L1 cells.	1
We assumed that the calculated prevalence would represent NAFLD prevalence in Iranian population in the age range of 20-60 years.	1
To provide a historical perspective on the introduction of paracetamol into clinical practice, to present the pharmacology of paracetamol in critical illness, and evaluate the current evidence for its use as an antipyretic and analgesic in intensive care.	1
To evaluate the feasibility of sterically stabilized phospholipid nanomicelles (SSMs) loaded with beclomethasone dipropionate (BDP) as a carrier for pulmonary delivery.	1
By providing some clarity on these conceptual issues we attempted to provide a basis for consensus building and development of recommendations on when this activity should be promoted or discouraged.	1
The analysis is based on research that seeks to identify options for correcting possible biases linked to cultural disparities.	1
To investigated the treatment of CSU with omalizumab in Israel.	1
This study seeks to (1) describe the profile of patients who seek treatment at different types of drug outlets, (2) document the types of drugs purchased for treating malaria, (3) assess which patients are purchasing recommended drugs, and (4) estimate the extent of malaria over-treatment.	1
To demonstrate that the combination of 1.2% CLNP with lower strength BPO (CLNP 1.2%-BPO 3%) in a gel formulation is superior to each individual ingredient, CLNP 1.2% and BPO 3%, and vehicle gel.	1
To study the pattern of pubertal development in Thai girls with early puberty.	1
The purpose of the following study was to pilot a new approach for investigating whether urologists who had previously provided patients with therapeutic advice actually knew their patients' importance weights concerning the relevant aspects of the treatments at issue.	1
